"","FID","g_t_lng_m","station","transect","utm_e_st","utm_n_st","utm_e_en","utm_n_en","wilcox_t_st_dist_m"
"1",0,23.0055694,"BTI1",1,297451.3871,3239371.285,297473.995,3239367.026,38520.05095
"2",1,21.28163684,"BTI2",1,297602.8767,3239521.372,297604.4688,3239500.15,38322.95358
"3",2,18.11829483,"BTI2",2,297608.1769,3239489.241,297626.2507,3239490.51,38350.5353
"4",3,20.52321621,"BTI3",1,297639.2793,3239405.338,297638.9777,3239384.817,38415.94596
"5",4,20.14379471,"BTI3",2,297700.0379,3239366.046,297720.1358,3239364.687,38428.88093
"6",5,25.95246808,"BTI4",1,297570.5714,3239128.374,297596.5148,3239129.06,38698.03599
"7",6,28.14115988,"BTI4",2,297493.0678,3239007.673,297521.1373,3239005.666,38839.2527
"8",7,21.98224919,"BTI5",1,297870.1213,3239060.067,297866.4118,3239038.4,38647.26628
"9",8,41.17117538,"BTI5",2,297849.7197,3239052.731,297890.7896,3239049.845,38661.75141
"10",9,17.79911848,"BTI6",1,297803.9073,3239165.992,297817.5982,3239154.618,38574.22541
"11",10,22.3605976,"LCO10A",1,295018.3163,3238589.143,295037.8033,3238578.177,40233.44619
"12",11,22.71539559,"LCO10A",2,295018.7935,3238590.754,295038.5694,3238579.578,40231.78735
"13",12,22.88766146,"LCO10A",3,295020.244,3238593.29,295040.1951,3238582.074,40228.8734
"14",13,22.84186869,"LCO10A",4,295020.8988,3238594.723,295040.7583,3238583.438,40227.29817
"15",14,23.37372924,"LCO10A",5,295021.9194,3238597.41,295042.287,3238585.943,40224.43414
"16",15,22.46337278,"LCO11B",1,295300.6927,3238213.193,295316.159,3238196.902,40452.31074
"17",16,22.2952762,"LCO11B",2,295301.9862,3238214.188,295317.2925,3238197.977,40450.86162
"18",17,22.22412837,"LCO11B",3,295303.1599,3238214.96,295318.3741,3238198.76,40449.66526
"19",18,22.34922465,"LCO12",1,295407.7742,3238079.652,295422.4529,3238062.799,40528.23421
"20",19,22.53263632,"LCO12",2,295409.0257,3238080.745,295423.6101,3238063.569,40526.71665
"21",20,22.64547772,"LCO12",3,295410.1457,3238081.775,295424.8302,3238064.536,40525.3115
"22",21,22.84028616,"LCO12",4,295412.3913,3238083.974,295427.1353,3238066.53,40522.37273
"23",22,22.24349105,"LCO12",5,295414.6904,3238085.636,295429.2018,3238068.778,40519.89887
"24",23,23.44254446,"LCO14",1,295644.9109,3237813.107,295661.239,3237796.286,40671.84093
"25",24,23.80694261,"LCO14",2,295646.228,3237814.545,295662.8515,3237797.503,40669.98754
"26",25,23.5781796,"LCO14",3,295648.3317,3237816.59,295664.7721,3237799.689,40667.25664
"27",26,22.40326068,"LCO15",1,295721.0572,3237755.345,295735.7711,3237738.451,40693.13477
"28",27,21.74122746,"LCO15",2,295723.0436,3237756.373,295736.8107,3237739.546,40691.3818
"29",28,21.75979818,"LCO15",3,295724.1008,3237758.235,295738.0698,3237741.551,40689.24992
"30",29,22.21517966,"LCO15",4,295726.2706,3237759.138,295740.5762,3237742.142,40687.53569
"31",30,22.53444444,"LCO15",5,295728.3865,3237759.91,295742.6215,3237742.441,40685.9631
"32",31,23.82771303,"LCO15",6,295761.654,3237708.506,295777.0863,3237690.351,40719.21183
"33",32,23.82917978,"LCO15",7,295765.7719,3237712.693,295781.1083,3237694.455,40713.70607
"34",33,23.91999868,"LCO15",8,295767.4133,3237714.28,295782.7023,3237695.884,40711.58627
"35",34,23.58905257,"LCO16",1,295897.5521,3237546.975,295910.371,3237527.173,40811.39976
"36",35,22.91281349,"LCO17",1,295955.1933,3236972.933,295960.5369,3236950.652,41313.86289
"37",36,23.05301119,"LCO17",2,295958.9204,3236974.074,295964.5104,3236951.709,41311.33034
"38",37,23.66959292,"LCO19",1,296172.4522,3236569.421,296184.1376,3236548.837,41598.82121
"39",38,23.84747438,"LCO19",2,296174.1271,3236570.641,296185.9944,3236549.956,41597.04366
"40",39,23.83760812,"LCO19",3,296175.6978,3236571.695,296187.8288,3236551.175,41595.45965
"41",40,23.78653752,"LCO19",4,296177.663,3236572.51,296189.5159,3236551.887,41593.94152
"42",41,23.7206018,"LCO19",5,296179.4487,3236573.242,296191.5409,3236552.835,41592.56998
"43",42,21.18189864,"LCO2",1,294365.2806,3239264.623,294371.2784,3239244.308,39916.84531
"44",43,23.06339004,"LCO20",1,296364.1315,3236036.616,296375.6154,3236016.615,42016.09553
"45",44,23.61937454,"LCO20",2,296365.8307,3236037.884,296377.4866,3236017.341,42014.27416
"46",45,23.45758402,"LCO20",3,296367.7777,3236038.716,296379.2318,3236018.245,42012.76095
"47",46,22.40775172,"LCO21",1,296512.9649,3235721.555,296522.5947,3235701.322,42251.08863
"48",47,22.70287121,"LCO21",2,296514.5987,3235722.264,296524.5432,3235701.855,42249.81637
"49",48,22.58476415,"LCO21",3,296518.5176,3235724.112,296528.1683,3235703.693,42246.62833
"50",49,22.27125367,"LCO21",4,296569.5774,3235605.417,296579.8685,3235585.666,42337.4509
"51",50,22.1458382,"LCO21",5,296575.0808,3235607.718,296585.3116,3235588.077,42333.25594
"52",51,21.66891168,"LCO21",6,296576.5636,3235608.359,296586.8551,3235589.29,42332.10625
"53",52,18.61271102,"LCO3",1,294409.7573,3239178.191,294395.7686,3239165.913,39973.86791
"54",53,22.05687698,"LCO4",1,294474.9996,3239058.003,294495.4571,3239049.757,40051.89562
"55",54,15.83599564,"LCO8A",1,294686.6206,3238948.824,294675.112,3238937.946,40055.32535
"56",55,22.62898522,"LCO9B",1,294832.5687,3238747.678,294847.3654,3238730.557,40171.60809
"57",56,23.55310872,"LCO9B",2,294833.9742,3238749.115,294849.4319,3238731.344,40169.70061
"58",57,23.90433718,"LCO9B",3,294835.5285,3238750.394,294851.437,3238732.552,40167.87
"59",58,23.93024473,"LCO9B",4,294836.8275,3238751.753,294852.8905,3238734.015,40166.07931
"60",59,22.58065193,"LCO9B",5,294838.329,3238753.013,294853.3678,3238736.169,40164.28893
"61",60,22.62042768,"LCO9C",1,294903.2761,3238662.025,294921.6126,3238648.779,40217.75744
"62",61,22.64492996,"LCO9C",2,294904.007,3238663.091,294922.5142,3238650.042,40216.47947
"63",62,22.34403569,"LCO9C",3,294905.0788,3238664.305,294923.3264,3238651.41,40214.91972
"64",63,22.39929112,"LCO9C",4,294905.9701,3238665.532,294924.2408,3238652.574,40213.42694
"65",64,22.61335617,"LCO9C",5,294906.7254,3238666.823,294925.0242,3238653.537,40211.93583
"66",65,30.13262901,"LTI1",1,298129.9717,3238437.876,298146.5214,3238412.695,39128.59682
"67",66,22.82950084,"LTI2",1,298226.4395,3238332.856,298245.2082,3238319.859,39191.30467
"68",67,38.4465894,"LTI3",1,298345.0118,3238420.86,298342.5084,3238382.495,39066.38901
"69",68,34.53946378,"LTI4",1,298304.6067,3238558.104,298302.6678,3238523.619,38953.0419
"70",69,20.20641188,"LTI5",1,298225.1955,3238537.178,298245.3957,3238536.677,39001.39761
"71",70,18.96044489,"LTI5",2,298228.7053,3238528.524,298247.6546,3238527.874,39008.17935
"72",71,19.11473043,"LTI6",1,298209.3474,3238512.478,298228.4536,3238511.907,39030.1737
