FID,Number,utm_e_st,utm_n_st,utm_e_en,utm_n_en,LENGTH
0,148,297451.3871,3239371.285,297473.995,3239367.026,23.0055694
1,150,297602.8767,3239521.372,297604.4688,3239500.15,21.28163684
2,153,297608.1769,3239489.241,297626.2507,3239490.51,18.11829483
3,146,297639.2793,3239405.338,297638.9777,3239384.817,20.52321621
4,143,297700.0379,3239366.046,297720.1358,3239364.687,20.14379471
5,141,297570.5714,3239128.374,297596.5148,3239129.06,25.95246808
6,139,297493.0678,3239007.673,297521.1373,3239005.666,28.14115988
7,156,297870.1213,3239060.067,297866.4118,3239038.4,21.98224919
8,158,297849.7197,3239052.731,297890.7896,3239049.845,41.17117538
9,154,297803.9073,3239165.992,297817.5982,3239154.618,17.79911848
10,117,295018.3163,3238589.143,295037.8033,3238578.177,22.3605976
11,118,295018.7935,3238590.754,295038.5694,3238579.578,22.71539559
12,120,295020.244,3238593.29,295040.1951,3238582.074,22.88766146
13,121,295020.8988,3238594.723,295040.7583,3238583.438,22.84186869
14,122,295021.9194,3238597.41,295042.287,3238585.943,23.37372924
15,111,295300.6927,3238213.193,295316.159,3238196.902,22.46337278
16,112,295301.9862,3238214.188,295317.2925,3238197.977,22.2952762
17,113,295303.1599,3238214.96,295318.3741,3238198.76,22.22412837
18,100,295407.7742,3238079.652,295422.4529,3238062.799,22.34922465
19,101,295409.0257,3238080.745,295423.6101,3238063.569,22.53263632
20,102,295410.1457,3238081.775,295424.8302,3238064.536,22.64547772
21,103,295412.3913,3238083.974,295427.1353,3238066.53,22.84028616
22,104,295414.6904,3238085.636,295429.2018,3238068.778,22.24349105
23,94,295644.9109,3237813.107,295661.239,3237796.286,23.44254446
24,95,295646.228,3237814.545,295662.8515,3237797.503,23.80694261
25,96,295648.3317,3237816.59,295664.7721,3237799.689,23.5781796
26,78,295721.0572,3237755.345,295735.7711,3237738.451,22.40326068
27,79,295723.0436,3237756.373,295736.8107,3237739.546,21.74122746
28,80,295724.1008,3237758.235,295738.0698,3237741.551,21.75979818
29,81,295726.2706,3237759.138,295740.5762,3237742.142,22.21517966
30,82,295728.3865,3237759.91,295742.6215,3237742.441,22.53444444
31,88,295761.654,3237708.506,295777.0863,3237690.351,23.82771303
32,89,295765.7719,3237712.693,295781.1083,3237694.455,23.82917978
33,90,295767.4133,3237714.28,295782.7023,3237695.884,23.91999868
34,76,295897.5521,3237546.975,295910.371,3237527.173,23.58905257
35,72,295955.1933,3236972.933,295960.5369,3236950.652,22.91281349
36,73,295958.9204,3236974.074,295964.5104,3236951.709,23.05301119
37,62,296172.4522,3236569.421,296184.1376,3236548.837,23.66959292
38,63,296174.1271,3236570.641,296185.9944,3236549.956,23.84747438
39,64,296175.6978,3236571.695,296187.8288,3236551.175,23.83760812
40,65,296177.663,3236572.51,296189.5159,3236551.887,23.78653752
41,66,296179.4487,3236573.242,296191.5409,3236552.835,23.7206018
42,6,294365.2806,3239264.623,294371.2784,3239244.308,21.18189864
43,56,296364.1315,3236036.616,296375.6154,3236016.615,23.06339004
44,57,296365.8307,3236037.884,296377.4866,3236017.341,23.61937454
45,58,296367.7777,3236038.716,296379.2318,3236018.245,23.45758402
46,44,296512.9649,3235721.555,296522.5947,3235701.322,22.40775172
47,45,296514.5987,3235722.264,296524.5432,3235701.855,22.70287121
48,46,296518.5176,3235724.112,296528.1683,3235703.693,22.58476415
49,50,296569.5774,3235605.417,296579.8685,3235585.666,22.27125367
50,51,296575.0808,3235607.718,296585.3116,3235588.077,22.1458382
51,52,296576.5636,3235608.359,296586.8551,3235589.29,21.66891168
52,7,294409.7573,3239178.191,294395.7686,3239165.913,18.61271102
53,12,294474.9996,3239058.003,294495.4571,3239049.757,22.05687698
54,9,294686.6206,3238948.824,294675.112,3238937.946,15.83599564
55,13,294832.5687,3238747.678,294847.3654,3238730.557,22.62898522
56,14,294833.9742,3238749.115,294849.4319,3238731.344,23.55310872
57,15,294835.5285,3238750.394,294851.437,3238732.552,23.90433718
58,16,294836.8275,3238751.753,294852.8905,3238734.015,23.93024473
59,17,294838.329,3238753.013,294853.3678,3238736.169,22.58065193
60,29,294903.2761,3238662.025,294921.6126,3238648.779,22.62042768
61,28,294904.007,3238663.091,294922.5142,3238650.042,22.64492996
62,26,294905.0788,3238664.305,294923.3264,3238651.41,22.34403569
63,25,294905.9701,3238665.532,294924.2408,3238652.574,22.39929112
64,24,294906.7254,3238666.823,294925.0242,3238653.537,22.61335617
65,161,298129.9717,3238437.876,298146.5214,3238412.695,30.13262901
66,163,298226.4395,3238332.856,298245.2082,3238319.859,22.82950084
67,164,298345.0118,3238420.86,298342.5084,3238382.495,38.4465894
68,173,298304.6067,3238558.104,298302.6678,3238523.619,34.53946378
69,168,298225.1955,3238537.178,298245.3957,3238536.677,20.20641188
70,169,298228.7053,3238528.524,298247.6546,3238527.874,18.96044489
71,167,298209.3474,3238512.478,298228.4536,3238511.907,19.11473043
