Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
,0,0,3,190.953098,1
,0,0,2,196.2056557,2
,0,0,1,213.2491652,3
,0,0,4,248.705986,4
,0,0,5,270.5746686,5
,0,0,6,365.9931247,6
,0,0,9,407.9408134,7
,0,0,8,510.0446168,8
,0,0,7,521.7230815,9
,0,0,69,1137.76708,10
,0,0,71,1145.448942,11
,0,0,70,1146.503243,12
,0,0,65,1154.005815,13
,0,0,68,1178.663236,14
,0,0,66,1295.778149,15
,0,0,67,1304.558464,16
,0,0,30,2359.080426,17
,0,0,29,2361.153296,18
,0,0,33,2362.505731,19
,0,0,28,2363.355298,20
,0,0,32,2364.788791,21
,0,0,27,2365.398914,22
,0,0,26,2367.552248,23
,0,0,31,2370.660657,24
,0,0,25,2380.774101,25
,0,0,24,2383.702751,26
,0,0,23,2385.639315,27
,0,0,34,2396.353518,28
,0,0,22,2408.532084,29
,0,0,21,2411.363408,30
,0,0,20,2414.436268,31
,0,0,19,2415.933273,32
,0,0,18,2417.575126,33
,0,0,17,2439.665471,34
,0,0,16,2441.064869,35
,0,0,15,2442.675476,36
,0,0,14,2549.744266,37
,0,0,13,2551.533248,38
,0,0,12,2552.593386,39
,0,0,11,2554.748572,40
,0,0,10,2555.695527,41
,0,0,64,2640.373056,42
,0,0,63,2641.445627,43
,0,0,62,2642.632528,44
,0,0,61,2643.990188,45
,0,0,60,2644.980041,46
,0,0,59,2685.206305,47
,0,0,58,2686.957722,48
,0,0,57,2688.535261,49
,0,0,56,2690.343063,50
,0,0,55,2692.042998,51
,0,0,54,2796.856646,52
,0,0,36,2823.8409,53
,0,0,35,2826.780537,54
,0,0,53,2992.829458,55
,0,0,52,3047.752801,56
,0,0,41,3073.576406,57
,0,0,40,3074.982046,58
,0,0,39,3076.53821,59
,0,0,38,3078.148782,60
,0,0,37,3079.953953,61
,0,0,42,3087.949176,62
,0,0,45,3504.315264,63
,0,0,44,3505.708905,64
,0,0,43,3507.440959,65
,0,0,48,3764.587148,66
,0,0,47,3767.350099,67
,0,0,46,3768.443352,68
,0,0,51,3863.279467,69
,0,0,50,3864.239808,70
,0,0,49,3867.731912,71
,0,1,2,32.56521581,1
,0,1,3,121.6101905,2
,0,1,4,183.2115309,3
,0,1,0,213.2491652,4
,0,1,5,394.3235479,5
,0,1,9,408.299212,6
,0,1,6,525.3043471,7
,0,1,8,529.675234,8
,0,1,7,533.1247314,9
,0,1,69,1164.439143,10
,0,1,70,1173.630516,11
,0,1,71,1177.146471,12
,0,1,68,1191.767692,13
,0,1,65,1204.903615,14
,0,1,67,1327.362486,15
,0,1,66,1342.16275,16
,0,1,30,2572.248411,17
,0,1,29,2574.319158,18
,0,1,33,2575.753752,19
