FID,Field1,Number,Date,Time,Lat_st,Long_st,Lat_end,Long_end,station,transect,utm_e_st,utm_n_st,utm_e_en,utm_n_en,NEAR_FID,NEAR_DIST
0,119,148,3/5/2019 0:00,07:10.0,29.26701636,-83.08469501,29.26698158,-83.08446167,BTI1,1,297451.3871,3239371.285,297473.995,3239367.026,0,38520.05095
1,121,150,3/5/2019 0:00,11:27.0,29.2683944,-83.08316414,29.26820324,-83.08314388,BTI2,1,297602.8767,3239521.372,297604.4688,3239500.15,0,38322.95358
2,124,153,3/5/2019 0:00,14:14.0,29.26810544,-83.08310374,29.26811978,-83.08291805,BTI2,2,297608.1769,3239489.241,297626.2507,3239490.51,0,38350.5353
3,118,146,3/5/2019 0:00,01:19.0,29.26735365,-83.08276845,29.26716851,-83.0827678,BTI3,1,297639.2793,3239405.338,297638.9777,3239384.817,0,38415.94596
4,115,143,3/5/2019 0:00,57:43.0,29.267009,-83.08213626,29.26699996,-83.08192927,BTI3,2,297700.0379,3239366.046,297720.1358,3239364.687,0,38428.88093
5,113,141,3/5/2019 0:00,52:38.0,29.26484452,-83.08342456,29.26485487,-83.08315782,BTI4,1,297570.5714,3239128.374,297596.5148,3239129.06,0,38698.03599
6,111,139,3/5/2019 0:00,47:08.0,29.26374341,-83.08419971,29.26372981,-83.08391061,BTI4,2,297493.0678,3239007.673,297521.1373,3239005.666,0,38839.2527
7,127,156,3/5/2019 0:00,25:46.0,29.26427643,-83.08033077,29.26408041,-83.08036497,BTI5,1,297870.1213,3239060.067,297866.4118,3239038.4,0,38647.26628
8,129,158,3/5/2019 0:00,27:27.0,29.264207,-83.08053929,29.26418754,-83.0801163,BTI5,2,297849.7197,3239052.731,297890.7896,3239049.845,0,38661.75141
9,125,154,3/5/2019 0:00,18:59.0,29.26522123,-83.08103123,29.26512083,-83.08088832,BTI6,1,297803.9073,3239165.992,297817.5982,3239154.618,0,38574.22541
10,101,117,3/5/2019 0:00,22:01.0,29.25956898,-83.1095781,29.25947324,-83.10937563,LCO10A,1,295018.3163,3238589.143,295037.8033,3238578.177,0,40233.44619
11,102,118,3/5/2019 0:00,22:30.0,29.25958359,-83.10957349,29.259486,-83.10936801,LCO10A,2,295018.7935,3238590.754,295038.5694,3238579.578,0,40231.78735
12,103,120,3/5/2019 0:00,23:25.0,29.2596067,-83.10955904,29.25950877,-83.10935175,LCO10A,3,295020.244,3238593.29,295040.1951,3238582.074,0,40228.8734
13,104,121,3/5/2019 0:00,24:02.0,29.25961973,-83.10955257,29.25952117,-83.10934621,LCO10A,4,295020.8988,3238594.723,295040.7583,3238583.438,0,40227.29817
14,105,122,3/5/2019 0:00,24:35.0,29.25964413,-83.10954257,29.25954401,-83.10933095,LCO10A,5,295021.9194,3238597.41,295042.287,3238585.943,0,40224.43414
15,95,111,3/5/2019 0:00,12:00.0,29.25622392,-83.10660412,29.25607949,-83.10644203,LCO11B,1,295300.6927,3238213.193,295316.159,3238196.902,0,40452.31074
16,96,112,3/5/2019 0:00,12:27.0,29.25623311,-83.106591,29.25608937,-83.10643057,LCO11B,2,295301.9862,3238214.188,295317.2925,3238197.977,0,40450.86162
17,97,113,3/5/2019 0:00,12:56.0,29.25624026,-83.10657907,29.25609661,-83.10641959,LCO11B,3,295303.1599,3238214.96,295318.3741,3238198.76,0,40449.66526
18,85,100,3/5/2019 0:00,03:11.0,29.25503681,-83.10547806,29.25488718,-83.10532397,LCO12,1,295407.7742,3238079.652,295422.4529,3238062.799,0,40528.23421
19,86,101,3/5/2019 0:00,03:37.0,29.25504687,-83.10546539,29.25489431,-83.10531221,LCO12,2,295409.0257,3238080.745,295423.6101,3238063.569,0,40526.71665
20,87,102,3/5/2019 0:00,04:03.0,29.25505634,-83.10545406,29.25490323,-83.10529984,LCO12,3,295410.1457,3238081.775,295424.8302,3238064.536,0,40525.3115
21,88,103,3/5/2019 0:00,04:32.0,29.25507654,-83.10543137,29.25492159,-83.1052765,LCO12,4,295412.3913,3238083.974,295427.1353,3238066.53,0,40522.37273
22,89,104,3/5/2019 0:00,05:02.0,29.2550919,-83.10540803,29.2549422,-83.10525566,LCO12,5,295414.6904,3238085.636,295429.2018,3238068.778,0,40519.89887
23,79,94,3/5/2019 0:00,56:05.0,29.2526711,-83.10298983,29.25252203,-83.10281879,LCO14,1,295644.9109,3237813.107,295661.239,3237796.286,0,40671.84093
24,80,95,3/5/2019 0:00,56:29.0,29.25268429,-83.10297655,29.25253327,-83.10280243,LCO14,2,295646.228,3237814.545,295662.8515,3237797.503,0,40669.98754
25,81,96,3/5/2019 0:00,56:49.0,29.25270307,-83.10295529,29.25255329,-83.10278308,LCO14,3,295648.3317,3237816.59,295664.7721,3237799.689,0,40667.25664
26,63,78,3/5/2019 0:00,44:19.0,29.25216244,-83.102196,29.25201244,-83.10204155,LCO15,1,295721.0572,3237755.345,295735.7711,3237738.451,0,40693.13477
27,64,79,3/5/2019 0:00,44:41.0,29.25217203,-83.10217576,29.25202249,-83.10203106,LCO15,2,295723.0436,3237756.373,295736.8107,3237739.546,0,40691.3818
28,65,80,3/5/2019 0:00,45:05.0,29.252189,-83.10216523,29.25204078,-83.10201848,LCO15,3,295724.1008,3237758.235,295738.0698,3237741.551,0,40689.24992
29,66,81,3/5/2019 0:00,45:31.0,29.25219749,-83.10214308,29.25204651,-83.10199281,LCO15,4,295726.2706,3237759.138,295740.5762,3237742.142,0,40687.53569
30,67,82,3/5/2019 0:00,46:03.0,29.2522048,-83.10212146,29.25204954,-83.10197183,LCO15,5,295728.3865,3237759.91,295742.6215,3237742.441,0,40685.9631
31,73,88,3/5/2019 0:00,49:39.0,29.25174654,-83.10176982,29.25158529,-83.10160775,LCO15,6,295761.654,3237708.506,295777.0863,3237690.351,0,40719.21183
32,74,89,3/5/2019 0:00,50:10.0,29.25178497,-83.10172824,29.25162295,-83.10156714,LCO15,7,295765.7719,3237712.693,295781.1083,3237694.455,0,40713.70607
33,75,90,3/5/2019 0:00,50:41.0,29.25179955,-83.10171165,29.2516361,-83.10155101,LCO15,8,295767.4133,3237714.28,295782.7023,3237695.884,0,40711.58627
34,61,76,3/5/2019 0:00,37:58.0,29.25031158,-83.10034233,29.25013505,-83.10020684,LCO16,1,295897.5521,3237546.975,295910.371,3237527.173,0,40811.39976
35,57,72,3/5/2019 0:00,31:48.0,29.24514329,-83.09964374,29.24494319,-83.09958468,LCO17,1,295955.1933,3236972.933,295960.5369,3236950.652,0,41313.86289
36,58,73,3/5/2019 0:00,32:12.0,29.24515419,-83.09960562,29.24495337,-83.09954401,LCO17,2,295958.9204,3236974.074,295964.5104,3236951.709,0,41311.33034
37,47,62,3/5/2019 0:00,24:01.0,29.24153887,-83.09733512,29.24135509,-83.09721116,LCO19,1,296172.4522,3236569.421,296184.1376,3236548.837,0,41598.82121
38,48,63,3/5/2019 0:00,24:21.0,29.24155014,-83.09731812,29.24136549,-83.09719227,LCO19,2,296174.1271,3236570.641,296185.9944,3236549.956,0,41597.04366
39,49,64,3/5/2019 0:00,24:45.0,29.2415599,-83.09730216,29.24137678,-83.09717363,LCO19,3,296175.6978,3236571.695,296187.8288,3236551.175,0,41595.45965
40,50,65,3/5/2019 0:00,25:05.0,29.24156757,-83.0972821,29.24138347,-83.09715641,LCO19,4,296177.663,3236572.51,296189.5159,3236551.887,0,41593.94152
41,51,66,3/5/2019 0:00,25:27.0,29.24157446,-83.09726387,29.24139235,-83.09713576,LCO19,5,296179.4487,3236573.242,296191.5409,3236552.835,0,41592.56998
42,2,6,2/21/2019 0:00,40:46.0,29.26555521,-83.11642056,29.26537296,-83.11635509,LCO2,1,294365.2806,3239264.623,294371.2784,3239244.308,0,39916.84531
43,41,56,3/5/2019 0:00,16:21.0,29.2367641,-83.09526596,29.23658555,-83.09514419,LCO20,1,296364.1315,3236036.616,296375.6154,3236016.615,0,42016.09553
44,42,57,3/5/2019 0:00,16:42.0,29.23677581,-83.09524872,29.2365924,-83.09512508,LCO20,2,296365.8307,3236037.884,296377.4866,3236017.341,0,42014.27416
45,43,58,3/5/2019 0:00,17:07.0,29.23678363,-83.09522885,29.23660083,-83.0951073,LCO20,3,296367.7777,3236038.716,296379.2318,3236018.245,0,42012.76095
46,29,44,3/5/2019 0:00,00:33.0,29.23394635,-83.09367757,29.23376541,-83.09357483,LCO21,1,296512.9649,3235721.555,296522.5947,3235701.322,0,42251.08863
47,30,45,3/5/2019 0:00,00:59.0,29.23395301,-83.0936609,29.23377053,-83.09355489,LCO21,2,296514.5987,3235722.264,296524.5432,3235701.855,0,42249.81637
48,31,46,3/5/2019 0:00,01:24.0,29.23397031,-83.09362094,29.23378769,-83.09351795,LCO21,3,296518.5176,3235724.112,296528.1683,3235703.693,0,42246.62833
49,35,50,3/5/2019 0:00,07:33.0,29.23290795,-83.09307409,29.23273146,-83.09296464,LCO21,4,296569.5774,3235605.417,296579.8685,3235585.666,0,42337.4509
50,36,51,3/5/2019 0:00,08:04.0,29.23292959,-83.09301792,29.23275408,-83.09290911,LCO21,5,296575.0808,3235607.718,296585.3116,3235588.077,0,42333.25594
51,37,52,3/5/2019 0:00,08:25.0,29.23293561,-83.09300279,29.23276527,-83.09289346,LCO21,6,296576.5636,3235608.359,296586.8551,3235589.29,0,42332.10625
52,3,7,2/21/2019 0:00,02:33.0,29.26478289,-83.115947,29.26466987,-83.11608861,LCO3,1,294409.7573,3239178.191,294395.7686,3239165.913,0,39973.86791
53,8,12,2/21/2019 0:00,18:47.0,29.26370949,-83.11525358,29.26363845,-83.11504162,LCO4,1,294474.9996,3239058.003,294495.4571,3239049.757,0,40051.89562
54,5,9,2/21/2019 0:00,37:46.0,29.2627592,-83.11305656,29.26265921,-83.11317292,LCO8A,1,294686.6206,3238948.824,294675.112,3238937.946,0,40055.32535
55,9,13,2/21/2019 0:00,30:13.0,29.2609687,-83.11151804,29.26081669,-83.11136267,LCO9B,1,294832.5687,3238747.678,294847.3654,3238730.557,0,40171.60809
56,10,14,2/21/2019 0:00,30:41.0,29.26098189,-83.11150385,29.26082412,-83.11134156,LCO9B,2,294833.9742,3238749.115,294849.4319,3238731.344,0,40169.70061
57,11,15,2/21/2019 0:00,31:17.0,29.26099368,-83.1114881,29.26083534,-83.11132116,LCO9B,3,294835.5285,3238750.394,294851.437,3238732.552,0,40167.87
58,12,16,2/21/2019 0:00,31:42.0,29.26100615,-83.11147499,29.26084877,-83.11130648,LCO9B,4,294836.8275,3238751.753,294852.8905,3238734.015,0,40166.07931
59,13,17,2/21/2019 0:00,32:14.0,29.26101776,-83.11145978,29.26086828,-83.11130197,LCO9B,5,294838.329,3238753.013,294853.3678,3238736.169,0,40164.28893
60,23,29,2/21/2019 0:00,43:52.0,29.26020765,-83.11077488,29.26009116,-83.11058382,LCO9C,1,294903.2761,3238662.025,294921.6126,3238648.779,0,40217.75744
