"","dist_m","rank","station1","transect1","station2","transect2"
"214",190.953098,1,"BTI1",1,"BTI3",1
"151",196.2056557,2,"BTI1",1,"BTI2",2
"130",213.2491652,3,"BTI1",1,"BTI2",1
"317",248.705986,4,"BTI1",1,"BTI3",2
"424",270.5746686,5,"BTI1",1,"BTI4",1
"456",365.9931247,6,"BTI1",1,"BTI4",2
"663",407.9408134,7,"BTI1",1,"BTI6",1
"602",510.0446168,8,"BTI1",1,"BTI5",2
"530",521.7230815,9,"BTI1",1,"BTI5",1
"4912",1137.76708,10,"BTI1",1,"LTI5",1
"5059",1145.448942,11,"BTI1",1,"LTI6",1
"4997",1146.503243,12,"BTI1",1,"LTI5",2
"4627",1154.005815,13,"BTI1",1,"LTI1",1
"4840",1178.663236,14,"BTI1",1,"LTI4",1
"4706",1295.778149,15,"BTI1",1,"LTI2",1
"4769",1304.558464,16,"BTI1",1,"LTI3",1
"2139",2359.080426,17,"BTI1",1,"LCO15",5
"2097",2361.153296,18,"BTI1",1,"LCO15",4
"2406",2362.505731,19,"BTI1",1,"LCO15",8
"2029",2363.355298,20,"BTI1",1,"LCO15",3
"2321",2364.788791,21,"BTI1",1,"LCO15",7
"1927",2365.398914,22,"BTI1",1,"LCO15",2
"1889",2367.552248,23,"BTI1",1,"LCO15",1
"2228",2370.660657,24,"BTI1",1,"LCO15",6
"1797",2380.774101,25,"BTI1",1,"LCO14",3
"1771",2383.702751,26,"BTI1",1,"LCO14",2
"1669",2385.639315,27,"BTI1",1,"LCO14",1
"2442",2396.353518,28,"BTI1",1,"LCO16",1
"1572",2408.532084,29,"BTI1",1,"LCO12",5
"1500",2411.363408,30,"BTI1",1,"LCO12",4
"1427",2414.436268,31,"BTI1",1,"LCO12",3
"1375",2415.933273,32,"BTI1",1,"LCO12",2
"1282",2417.575126,33,"BTI1",1,"LCO12",1
"1209",2439.665471,34,"BTI1",1,"LCO11B",3
"1139",2441.064869,35,"BTI1",1,"LCO11B",2
"1100",2442.675476,36,"BTI1",1,"LCO11B",1
"1033",2549.744266,37,"BTI1",1,"LCO10A",5
"993",2551.533248,38,"BTI1",1,"LCO10A",4
"868",2552.593386,39,"BTI1",1,"LCO10A",3
"785",2554.748572,40,"BTI1",1,"LCO10A",2
"714",2555.695527,41,"BTI1",1,"LCO10A",1
"4613",2640.373056,42,"BTI1",1,"LCO9C",5
"4542",2641.445627,43,"BTI1",1,"LCO9C",4
"4457",2642.632528,44,"BTI1",1,"LCO9C",3
"4381",2643.990188,45,"BTI1",1,"LCO9C",2
"4311",2644.980041,46,"BTI1",1,"LCO9C",1
"4245",2685.206305,47,"BTI1",1,"LCO9B",5
"4171",2686.957722,48,"BTI1",1,"LCO9B",4
"4067",2688.535261,49,"BTI1",1,"LCO9B",3
"4024",2690.343063,50,"BTI1",1,"LCO9B",2
"3949",2692.042998,51,"BTI1",1,"LCO9B",1
"3871",2796.856646,52,"BTI1",1,"LCO8A",1
"2612",2823.8409,53,"BTI1",1,"LCO17",2
"2518",2826.780537,54,"BTI1",1,"LCO17",1
