Number,Date,Time,Latitude,Longitude,Altitude,Geoidal Separation,Speed,Heading True,Heading Magnetic,HDOP,VDOP,PDOP,EHE,Fix Quality,Fix Type,Satellites,Description
5,2/21/2019,39:46.0,29.26537296,-83.11635509,-3.761,-29.157,0.06,308.58,314.05,0.9,1.2,1.5,2.564,GPS,1,11,LCO2_1_end
6,2/21/2019,40:46.0,29.26555521,-83.11642056,-0.123,-29.157,0.05,259.85,265.32,0.6,1,1.1,0.184,DGPS,2,18,LCO2_1_start
7,2/21/2019,02:33.0,29.26478289,-83.115947,1.03,-29.157,0.03,182.77,188.24,0.7,1,1.2,0.206,DGPS,2,17,LCO3_1_start
8,2/21/2019,03:33.0,29.26466987,-83.11608861,1.316,-29.156,0.08,15.2,20.68,0.7,1.1,1.3,0.215,DGPS,2,16,LCO3_1_end
9,2/21/2019,37:46.0,29.2627592,-83.11305656,2.389,-29.156,0.04,116.97,122.45,0.8,1.3,1.5,0.226,DGPS,2,15,LCO8A_1_start
10,2/21/2019,38:33.0,29.26265921,-83.11317292,1.89,-29.155,0.03,280.52,286,0.8,1.3,1.5,0.338,DGPS,2,15,LCO8A_1_end
11,2/21/2019,17:56.0,29.26363845,-83.11504162,-0.144,-29.156,0.14,237.11,242.59,0.6,1,1.2,0.186,DGPS,2,18,LCO4_1_end
12,2/21/2019,18:47.0,29.26370949,-83.11525358,-0.175,-29.156,0.08,180.06,185.54,0.6,1,1.2,0.186,DGPS,2,18,LCO4_1_start
13,2/21/2019,30:13.0,29.2609687,-83.11151804,0.197,-29.154,0.05,246.88,252.36,0.7,1,1.3,0.21,DGPS,2,16,LCO9B_1_start
14,2/21/2019,30:41.0,29.26098189,-83.11150385,-0.018,-29.154,0.03,158.6,164.08,0.6,1,1.2,0.194,DGPS,2,17,LCO9B_2_start
15,2/21/2019,31:17.0,29.26099368,-83.1114881,-0.001,-29.154,0.06,106.93,112.41,0.7,1,1.2,0.2,DGPS,2,16,LCO9B_3_start
16,2/21/2019,31:42.0,29.26100615,-83.11147499,-0.112,-29.154,0.09,87.67,93.15,0.7,1,1.2,0.201,DGPS,2,16,LCO9B_4_start
17,2/21/2019,32:14.0,29.26101776,-83.11145978,-0.047,-29.154,0.03,188.56,194.04,0.7,1,1.2,0.201,DGPS,2,16,LCO9B_5_start
19,2/21/2019,33:47.0,29.26082412,-83.11134156,0.601,-29.154,0.05,258.41,263.89,0.6,1,1.2,0.194,DGPS,2,17,LCO9B_2_end
20,2/21/2019,34:40.0,29.26081669,-83.11136267,0.659,-29.154,0.09,7.76,13.24,0.7,1.2,1.4,0.217,DGPS,2,16,LCO9B_1_end
21,2/21/2019,35:08.0,29.26083534,-83.11132116,0.636,-29.154,0.02,199.72,205.2,0.7,1.2,1.4,0.217,DGPS,2,16,LCO9B_3_end
22,2/21/2019,35:33.0,29.26084877,-83.11130648,0.581,-29.154,0.08,272.34,277.81,0.7,1.2,1.4,0.217,DGPS,2,16,LCO9B_4_end
23,2/21/2019,36:06.0,29.26086828,-83.11130197,0.595,-29.154,0.09,322.48,327.96,0.7,1.2,1.4,0.217,DGPS,2,16,LCO9B_5_end
24,2/21/2019,41:03.0,29.26025149,-83.11074029,0.363,-29.154,0.09,337.51,342.99,0.7,1.2,1.4,0.208,DGPS,2,17,LCO9C_5_start
25,2/21/2019,41:28.0,29.26023972,-83.11074782,0.271,-29.154,0.08,121.83,127.3,0.7,1.2,1.4,0.208,DGPS,2,17,LCO9C_4_start
26,2/21/2019,41:52.0,29.26022851,-83.11075676,0.172,-29.154,0.08,98.26,103.74,0.7,1.3,1.5,0.215,DGPS,2,16,LCO9C_3_start
28,2/21/2019,43:29.0,29.26021738,-83.11076756,-0.242,-29.154,0.03,304.34,309.81,0.7,1.2,1.4,0.243,DGPS,2,16,LCO9C_2_start
29,2/21/2019,43:52.0,29.26020765,-83.11077488,-0.072,-29.154,0.03,82.01,87.48,0.7,1.2,1.4,0.213,DGPS,2,16,LCO9C_1_start
30,2/21/2019,44:49.0,29.26009116,-83.11058382,-0.029,-29.154,0.08,294.54,300.02,0.7,1.1,1.3,0.204,DGPS,2,17,LCO9C_1_end
31,2/21/2019,45:14.0,29.2601027,-83.11057478,-0.016,-29.154,0.04,249.7,255.17,0.7,1.1,1.3,0.204,DGPS,2,17,LCO9C_2_end
32,2/21/2019,45:47.0,29.26011517,-83.11056668,0.058,-29.154,0.07,275.44,280.91,0.7,1.1,1.3,0.204,DGPS,2,17,LCO9C_3_end
