date,year,month,day,station,sample,rec_field,time,type,total_samp_ml,sed_samp_ml,org_samp_ml,perc_silt,perc_clay,perc_sand,perc_shell,perc_det,bot_do,bot_cond,bot_sal,bot_temp,depth_m,rec_sed,sed_samp_tray_wt_g,sed_samp_tot_wetwt_g,sed_samp_tot_drywt_g,sed_samp_tot_ashwt_g,org_samp_tray_wt_g,org_samp_tot_wetwt_g,org_samp_tot_drywt_g
6/5/2018,2018,June,5,B1,1,SB,1557,CORE,1178,100,1078,65,0,10,5,20,6.8,22.51,12.3,29.6,1.1,AH,2.329,52.489,39.405,38.856,2.375,35.065,9.29
6/5/2018,2018,June,5,B1,2,SB,1608,CORE,1178,100,1078,65,0,10,5,20,6.8,22.51,12.3,29.6,1.1,AH,2.28,52.779,33.869,33.152,2.297,27.2,7.899
6/5/2018,2018,June,5,B1,3,SB,1620,CORE,1178,100,1078,65,0,10,5,20,6.8,22.51,12.3,29.6,1.1,AH,2.27,52.527,38.115,37.504,2.313,40.622,17.958
6/5/2018,2018,June,5,B10,1,SB,1417,CORE,1178,100,1078,50,20,10,10,10,7.61,27.05,15.3,28.7,1.25,AH,2.261,52.351,35.66,34.72,2.289,42.187,31.204
6/5/2018,2018,June,5,B10,2,SB,1430,CORE,1178,100,1078,50,20,10,10,10,7.61,27.05,15.3,28.7,1.25,AH,2.232,52.282,28.89,27.36,2.281,40.485,28.396
6/5/2018,2018,June,5,B10,3,SB,1449,CORE,1178,100,1078,50,20,10,10,10,7.61,27.05,15.3,28.7,1.25,AH,2.267,52.269,34.35,33.22,2.272,21.926,12.753
6/5/2018,2018,June,5,B11,1,SB,1256,CORE,1178,100,1078,70,0,10,20,0,10.96,13.61,7.3,28.8,1.53,AH,2.284,52.309,30.69,29.21,2.286,24.413,14.413
6/5/2018,2018,June,5,B11,2,SB,1307,CORE,1178,100,1078,65,10,5,20,0,10.96,13.61,7.3,28.8,1.53,AH,2.299,52.707,32.11,30.9,2.29,21.51,12.353
6/5/2018,2018,June,5,B11,3,SB,1317,CORE,1178,100,1078,65,10,5,20,0,10.96,13.61,7.3,28.8,1.53,AH,2.277,52.347,31.7,30.31,2.258,20.456,13.066
6/5/2018,2018,June,5,B12,1,SB,1117,CORE,1178,100,1078,75,5,10,10,0,9.61,13.48,7.2,28.4,1.55,AH,2.255,52.338,38.67,38,2.329,15.408,11.198
6/5/2018,2018,June,5,B12,2,SB,1130,CORE,1178,100,1078,75,5,10,10,0,9.61,13.48,7.2,28.4,1.55,AH,2.274,52.33,32.66,31.6,2.26,15.732,10.44
6/5/2018,2018,June,5,B12,3,SB,1146,CORE,1178,100,1078,85,5,5,5,0,9.61,13.48,7.2,28.4,1.55,AH,2.251,52.284,36.42,35.41,2.25,17.635,12.417
6/8/2018,2018,June,8,B13,1,SB,1215,CORE,1178,100,1078,60,10,10,20,0,3.7,30.96,18.3,27.4,2.25,AH,2.27,52.39,31.02,29.39,2.277,47.873,35.919
6/8/2018,2018,June,8,B13,2,SB,1230,CORE,1178,100,1078,70,10,10,10,0,3.7,30.96,18.3,27.4,2.25,AH,2.31,52.44,31.14,29.64,2.275,28.884,20.136
6/8/2018,2018,June,8,B13,3,SB,1247,CORE,1178,100,1078,70,10,10,10,0,3.7,30.96,18.3,27.4,2.25,AH,2.26,52.51,32.95,31.72,2.232,36.98,26.868
6/8/2018,2018,June,8,B14,1,SB,1333,CORE,1178,100,1078,20,20,40,20,0,2.96,28.81,16.8,27.6,1.9,AH,2.26,52.46,38.02,36.92,2.347,98.966,80.843
6/8/2018,2018,June,8,B14,2,SB,1357,CORE,1178,100,1078,40,10,20,30,0,2.96,28.81,16.8,27.6,1.9,AH,2.32,52.32,38.27,37.36,4.567,209.137,171.604
