"","station","easting","northing","sample_mean","coarse_mean","sample_sd","coarse_sd","sample_std.error","coarse_std.error"
"1","B1",294432,3239364,2,9.38733333333333,1,5.45891805519494,0.577350269189626,3.15170780865091
"2","B10",295881,3238715,2,21.837,1,9.93373303446393,0.577350269189626,5.73524344150563
"3","B11",296825,3238004,2,10.9993333333333,1,1.0452178401335,0.577350269189626,0.603456801362875
"4","B12",297498,3236988,2,9.072,1,1.00893458658131,0.577350269189626,0.582508655157444
"5","B13",294437,3237981,2,25.3796666666667,1,7.91673988036321,0.577350269189626,4.57073190103195
"6","B14",295545,3236081,2,137.993666666667,1,51.5313204210151,0.577350269189626,29.75162171677
"7","B2",296319,3237017,2,13.1286666666667,1,2.7571028876945,0.577350269189626,1.59181409439391
"8","B3",296853,3235394,2,23.4303333333333,1,8.24254186118174,0.577350269189626,4.75883376236004
"9","B4",296657,3235300,2,42.54,1,7.23931150041218,0.577350269189626,4.17961844351052
"10","B5",295777,3237081,2,53.6496666666667,1,12.2115094207609,0.577350269189626,7.05031825128798
"11","B6",294201,3239292,2,41.3013333333333,1,23.3757601872823,0.577350269189626,13.4960014366396
"12","B7",296136,3239476,2,34.808,1,36.5149131041004,0.577350269189626,21.0818949100881
"13","B8",297806,3238300,2,9.34133333333333,1,5.46698786658003,0.577350269189626,3.1563669164264
"14","B9",297582,3235502,2,15.4866666666667,1,4.73447371239226,0.577350269189626,2.73344967232088
