"","station","AMPE AMSP","AMPI N_A","ANTH CYPO","CAPI N_A","CIRR THSP","ISCH CESP","LUCI PAMU","MYTI AMPA","OLIG N_A","OWEN OWSP","PARA ARSP","SPIO PAPI","easting","northing"
"1","B1",13,0,22,5,1,33,0,12,14,0,2,3,294432,3239364
"2","B10",2,0,3,0,0,0,18,0,0,0,0,0,295881,3238715
"3","B11",5,0,1,0,1,0,214,0,0,0,0,1,296825,3238004
"4","B12",1,1,0,0,1,0,124,1,0,0,0,4,297498,3236988
"5","B13",0,5,0,2,4,0,100,0,0,0,1,0,294437,3237981
"6","B14",12,14,1,4,6,0,20,0,0,71,2,6,295545,3236081
"7","B2",5,0,7,1,0,2,131,0,2,0,22,0,296319,3237017
"8","B3",16,6,0,4,0,1,48,0,3,11,2,5,296853,3235394
"9","B4",12,0,0,4,6,0,21,3,0,0,0,1,296657,3235300
"10","B5",2,0,0,0,1,0,20,1,0,0,0,1,295777,3237081
"11","B6",24,0,0,0,1,8,0,8,9,0,6,2,294201,3239292
"12","B7",170,0,6,2,0,0,0,4,2,0,0,1,296136,3239476
"13","B8",117,0,0,0,0,0,23,0,6,0,2,2,297806,3238300
"14","B9",1,0,0,1,1,1,223,0,0,0,1,3,297582,3235502
