"","station","easting","northing","sample_mean","sed_org_c_mean","sample_sd","sed_org_c_sd","sample_std.error","sed_org_c_std.error"
"1","B1",294432,3239364,2,0.625666666666667,1,0.0849548899907074,0.577350269189626,0.04904872860511
"2","B10",295881,3238715,2,1.2,1,0.301164406927514,0.577350269189626,0.173877351409934
"3","B11",296825,3238004,2,1.36,1,0.137477270848675,0.577350269189626,0.0793725393319376
"4","B12",297498,3236988,2,0.913333333333334,1,0.212210587231959,0.577350269189626,0.12251983966326
"5","B13",294437,3237981,2,1.45333333333333,1,0.204042479237369,0.577350269189626,0.117803980313814
"6","B14",295545,3236081,2,0.980000000000002,1,0.104403065089105,0.577350269189626,0.0602771377334169
"7","B2",296319,3237017,2,0.952999999999998,1,0.52964516423734,0.577350269189626,0.305790778147412
"8","B3",296853,3235394,2,0.569333333333333,1,0.185208891075272,0.577350269189626,0.106930403118621
"9","B4",296657,3235300,2,0.267333333333331,1,0.04128357219686,0.577350269189626,0.0238350815209665
"10","B5",295777,3237081,2,0.619666666666665,1,0.147055545061497,0.577350269189626,0.0849025585270823
"11","B6",294201,3239292,2,0.626333333333335,1,0.187500222222091,0.577350269189626,0.108253303773039
"12","B7",296136,3239476,2,1.05333333333333,1,0.0757187779440033,0.577350269189626,0.0437162568286798
"13","B8",297806,3238300,2,0.820000000000003,1,0.170880074906352,0.577350269189626,0.098657657246326
"14","B9",297582,3235502,2,0.973333333333336,1,0.164418166068515,0.577350269189626,0.0949268724393214
