"","station","sample","total","easting","northing"
"1","B1","1",10,294432,3239364
"2","B1","2",5,294432,3239364
"3","B1","3",8,294432,3239364
"4","B10","1",4,295881,3238715
"5","B10","2",3,295881,3238715
"6","B10","3",2,295881,3238715
"7","B11","1",3,296825,3238004
"8","B11","2",4,296825,3238004
"9","B11","3",7,296825,3238004
"10","B12","1",5,297498,3236988
"11","B12","2",6,297498,3236988
"12","B12","3",5,297498,3236988
"13","B13","1",5,294437,3237981
"14","B13","2",8,294437,3237981
"15","B13","3",7,294437,3237981
"16","B14","1",13,295545,3236081
"17","B14","2",16,295545,3236081
"18","B14","3",12,295545,3236081
"19","B2","1",7,296319,3237017
"20","B2","2",5,296319,3237017
"21","B2","3",7,296319,3237017
"22","B3","1",8,296853,3235394
"23","B3","2",8,296853,3235394
"24","B3","3",6,296853,3235394
"25","B4","1",7,296657,3235300
"26","B4","2",11,296657,3235300
"27","B4","3",6,296657,3235300
"28","B5","1",2,295777,3237081
"29","B5","2",5,295777,3237081
"30","B5","3",3,295777,3237081
"31","B6","1",10,294201,3239292
"32","B6","2",11,294201,3239292
"33","B6","3",9,294201,3239292
"34","B7","1",4,296136,3239476
"35","B7","2",7,296136,3239476
"36","B7","3",9,296136,3239476
"37","B8","1",3,297806,3238300
"38","B8","2",7,297806,3238300
"39","B8","3",4,297806,3238300
"40","B9","1",8,297582,3235502
"41","B9","2",9,297582,3235502
"42","B9","3",7,297582,3235502
