FID,Id,OID_,Id_1,Rock_Size,Bottom_to_,Value,COUNT,MIN,MAX,MEAN,sqft,sgmnt_id,element_id
0,1,167,1,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,143,-0.499973416330000,-0.375294089320000,-0.449367877490000,143,1,1
1,2,168,2,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,141,-0.499156594280000,-0.423834681510000,-0.473284306260000,141,1,1
2,3,126,3,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1721,-0.999942302700000,-0.500074028970000,-0.689701090640000,1721,1,1
3,4,67,4,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,372,-1.208199739460000,-1.000765085220000,-1.112444782770000,372,1,1
4,5,68,5,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,68,-1.364990472790000,-1.002326488490000,-1.143437732670000,68,2,2
5,6,69,6,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,155,-1.112984418870000,-1.000880002980000,-1.040342343240000,155,2,2
6,7,127,7,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,4623,-0.999830484390000,-0.500791907310000,-0.836696201660000,4623,2,2
7,8,169,8,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2371,-0.499988794330000,-0.024371981620000,-0.278074512850000,2371,2,2
8,9,128,9,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,514,-0.719412803650000,-0.500236988070000,-0.584857560320000,514,2,2
9,10,129,10,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.506529212000000,-0.506529212000000,-0.506529212000000,1,3,3
10,11,130,11,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,523,-0.598600149160000,-0.500057935720000,-0.532501388920000,523,3,3
11,12,131,12,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.500540852550000,-0.500540852550000,-0.500540852550000,1,3,3
12,13,170,13,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1240,-0.499993085860000,-0.401597261430000,-0.460822851040000,1240,3,3
13,14,70,14,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2,-1.019357442860000,-1.006937265400000,-1.013147354130000,2,3,3
14,15,71,15,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,94,-1.271434545520000,-1.002165555950000,-1.095778678330000,94,3,3
15,16,72,16,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.003255128860000,-1.003255128860000,-1.003255128860000,1,3,3
16,17,132,17,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,49,-0.999930143360000,-0.983101129530000,-0.993837687430000,49,3,3
17,18,133,18,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,6404,-0.999834537510000,-0.500150799750000,-0.783547333630000,6404,3,3
18,19,73,19,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1532,-1.127663373950000,-1.000012874600000,-1.041426025860000,1532,3,3
19,20,134,20,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,338,-0.999958992000000,-0.948460578920000,-0.976984629260000,338,3,3
20,21,74,21,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,6,-1.031002998350000,-1.003221035000000,-1.017101605730000,6,4,4
21,22,75,22,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.005247831340000,-1.005247831340000,-1.005247831340000,1,4,4
22,23,76,23,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.009075164790000,-1.009075164790000,-1.009075164790000,1,4,4
23,24,135,24,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2383,-0.998920202260000,-0.673308849340000,-0.858890986470000,2383,4,4
24,25,77,25,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1426,-1.398614168170000,-1.000041723250000,-1.114256543330000,1426,5,5
25,26,78,26,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.006334781650000,-1.006334781650000,-1.006334781650000,1,5,5
26,27,171,27,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,56,-0.499976158140000,-0.473069787030000,-0.489302503210000,56,5,5
27,28,79,28,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,39,-1.150687456130000,-1.000276088710000,-1.056723802520000,39,5,5
28,29,80,29,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.018337488170000,-1.018337488170000,-1.018337488170000,1,5,5
29,30,81,30,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,8,-1.015392303470000,-1.000814199450000,-1.007512509820000,8,5,5
30,31,136,31,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2948,-0.999890565870000,-0.500722408300000,-0.758716246090000,2948,5,5
31,32,82,32,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,329,-1.215393304820000,-1.001252889630000,-1.111356357670000,329,6,6
32,33,83,33,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,2,-1.002942800520000,-1.000709056850000,-1.001825928690000,2,6,6
33,34,84,34,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,7,-1.045488119130000,-1.007916450500000,-1.024349451070000,7,6,6
34,35,85,35,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.009460449220000,-1.009460449220000,-1.009460449220000,1,6,6
35,36,86,36,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.030596494670000,-1.030596494670000,-1.030596494670000,1,6,6
36,37,87,37,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,11,-1.102801561360000,-1.008321523670000,-1.049641435800000,11,6,6
37,38,137,38,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2660,-0.999791145330000,-0.642011165620000,-0.795875937150000,2660,6,6
38,39,138,39,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,82,-0.999942779540000,-0.874759674070000,-0.950554335990000,82,7,7
39,40,88,40,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,675,-1.147410631180000,-1.000276088710000,-1.084727270340000,675,7,7
40,41,89,41,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,508,-1.496610641480000,-1.000408887860000,-1.168887725500000,508,8,8a
41,42,139,42,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2345,-0.999835968020000,-0.736226558690000,-0.865380796340000,2345,7,7
42,43,90,43,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1477,-1.399743080140000,-1.000028848650000,-1.184319961850000,1477,7,7
43,44,172,44,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,264,-0.499208927160000,-0.300946354870000,-0.413614622570000,264,8,8a
44,45,140,45,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,6639,-0.999839067460000,-0.500317096710000,-0.708109130500000,6639,8,8a
45,46,141,46,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,676,-0.999558448790000,-0.776139259340000,-0.909528357040000,676,9,8b
46,47,26,47,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,185,-1.888683795930000,-1.750352382660000,-1.798799595960000,185,9,8b
47,48,91,48,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,4694,-1.749825954440000,-1.001125812530000,-1.387974446460000,4694,9,8b
48,49,27,49,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-1.759742021560000,-1.759742021560000,-1.759742021560000,1,9,8b
49,50,28,50,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,175,-2.171059846880000,-1.757840633390000,-1.914227818080000,175,10,9a
50,51,29,51,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2,-1.755578756330000,-1.750852108000000,-1.753215432170000,2,10,9a
51,52,30,52,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1,-1.752306461330000,-1.752306461330000,-1.752306461330000,1,10,9a
52,53,92,53,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1013,-1.749652862550000,-1.001142978670000,-1.484545396790000,1013,10,9a
53,54,173,54,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,35,-0.492283463480000,-0.403015136720000,-0.450757622720000,35,10,9a
54,55,174,55,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,2,-0.494287133220000,-0.486518025400000,-0.490402579310000,2,10,9a
55,56,142,56,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,247,-0.999225139620000,-0.500575661660000,-0.752138657610000,247,10,9a
56,57,143,57,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.500112414360000,-0.500112414360000,-0.500112414360000,1,11,9b
57,58,144,58,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.517005562780000,-0.517005562780000,-0.517005562780000,1,11,9b
58,59,145,59,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.528707742690000,-0.528707742690000,-0.528707742690000,1,11,9b
59,60,146,60,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,1,-0.510019779210000,-0.510019779210000,-0.510019779210000,1,11,9b
60,61,147,61,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,2,-0.534814953800000,-0.508969783780000,-0.521892368790000,2,11,9b
61,62,175,62,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,8505,-0.499611496930000,-0.001518964770000,-0.296626789850000,8505,11,9b
62,63,176,63,5 Single Layer 3"" Rock (0-6""),-0.499999999_-0.000000000,1,1,-0.487101078030000,-0.487101078030000,-0.487101078030000,1,11,9b
