Rock_Size,Value,sqft,element_id
"3 Multi-Layer (12-21"""")",3,68,2
"3 Multi-Layer (12-21"""")",3,155,2
"4 Single Layer 9"""" Rock (6-12"""")",2,4623,2
"5 Single Layer 3"""" Rock (0-6"""")",1,2371,2
"4 Single Layer 9"""" Rock (6-12"""")",2,514,2
"4 Single Layer 9"""" Rock (6-12"""")",2,1,3
"4 Single Layer 9"""" Rock (6-12"""")",2,523,3
"4 Single Layer 9"""" Rock (6-12"""")",2,1,3
"5 Single Layer 3"""" Rock (0-6"""")",1,1240,3
"3 Multi-Layer (12-21"""")",3,2,3
"3 Multi-Layer (12-21"""")",3,94,3
"3 Multi-Layer (12-21"""")",3,1,3
"4 Single Layer 9"""" Rock (6-12"""")",2,49,3
"4 Single Layer 9"""" Rock (6-12"""")",2,6404,3
"3 Multi-Layer (12-21"""")",3,1532,3
"4 Single Layer 9"""" Rock (6-12"""")",2,338,3
"3 Multi-Layer (12-21"""")",3,6,4
"3 Multi-Layer (12-21"""")",3,1,4
"3 Multi-Layer (12-21"""")",3,1,4
"4 Single Layer 9"""" Rock (6-12"""")",2,2383,4
"3 Multi-Layer (12-21"""")",3,1426,5
"3 Multi-Layer (12-21"""")",3,1,5
"5 Single Layer 3"""" Rock (0-6"""")",1,56,5
"3 Multi-Layer (12-21"""")",3,39,5
"3 Multi-Layer (12-21"""")",3,1,5
"3 Multi-Layer (12-21"""")",3,8,5
"4 Single Layer 9"""" Rock (6-12"""")",2,2948,5
"3 Multi-Layer (12-21"""")",3,329,6
"3 Multi-Layer (12-21"""")",3,2,6
"3 Multi-Layer (12-21"""")",3,7,6
"3 Multi-Layer (12-21"""")",3,1,6
"3 Multi-Layer (12-21"""")",3,1,6
"3 Multi-Layer (12-21"""")",3,11,6
"4 Single Layer 9"""" Rock (6-12"""")",2,2660,6
"4 Single Layer 9"""" Rock (6-12"""")",2,82,7
"3 Multi-Layer (12-21"""")",3,675,7
"3 Multi-Layer (12-21"""")",3,508,8a
"4 Single Layer 9"""" Rock (6-12"""")",2,2345,7
"3 Multi-Layer (12-21"""")",3,1477,7
"5 Single Layer 3"""" Rock (0-6"""")",1,264,8a
"4 Single Layer 9"""" Rock (6-12"""")",2,6639,8a
"4 Single Layer 9"""" Rock (6-12"""")",2,676,8b
"2 Single Layer 24"""" Rock (21-27"""")",4,185,8b
"3 Multi-Layer (12-21"""")",3,4694,8b
"2 Single Layer 24"""" Rock (21-27"""")",4,1,8b
"2 Single Layer 24"""" Rock (21-27"""")",4,175,9a
"2 Single Layer 24"""" Rock (21-27"""")",4,2,9a
"2 Single Layer 24"""" Rock (21-27"""")",4,1,9a
"3 Multi-Layer (12-21"""")",3,1013,9a
"5 Single Layer 3"""" Rock (0-6"""")",1,35,9a
"5 Single Layer 3"""" Rock (0-6"""")",1,2,9a
"4 Single Layer 9"""" Rock (6-12"""")",2,247,9a
"4 Single Layer 9"""" Rock (6-12"""")",2,1,9b
"4 Single Layer 9"""" Rock (6-12"""")",2,1,9b
"4 Single Layer 9"""" Rock (6-12"""")",2,1,9b
"4 Single Layer 9"""" Rock (6-12"""")",2,1,9b
"4 Single Layer 9"""" Rock (6-12"""")",2,2,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,8505,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,1,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,1,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,2,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,1,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,2,9b
"1 Multi Layer Deep (Above 27-33"""")",5,272,9b
"1 Multi Layer Deep (Above 27-33"""")",5,7,9b
"1 Multi Layer Deep (Above 27-33"""")",5,2,9b
"1 Multi Layer Deep (Above 27-33"""")",5,1,9b
"2 Single Layer 24"""" Rock (21-27"""")",4,651,9b
"3 Multi-Layer (12-21"""")",3,1282,9b
"5 Single Layer 3"""" Rock (0-6"""")",1,824,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"3 Multi-Layer (12-21"""")",3,129,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"3 Multi-Layer (12-21"""")",3,1,9b
"4 Single Layer 9"""" Rock (6-12"""")",2,6327,9b
"2 Single Layer 24"""" Rock (21-27"""")",4,1,9b
"3 Multi-Layer (12-21"""")",3,996,9b
"1 Multi Layer Deep (Above 27-33"""")",5,66,9b
"1 Multi Layer Deep (Above 27-33"""")",5,1,9b
"2 Single Layer 24"""" Rock (21-27"""")",4,796,9b
"2 Single Layer 24"""" Rock (21-27"""")",4,276,10a
"2 Single Layer 24"""" Rock (21-27"""")",4,4,10a
"1 Multi Layer Deep (Above 27-33"""")",5,350,10a
"2 Single Layer 24"""" Rock (21-27"""")",4,1813,10a
"3 Multi-Layer (12-21"""")",3,2561,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,1,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,2156,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,105,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,1,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,77,10a
"5 Single Layer 3"""" Rock (0-6"""")",1,9483,10a
"5 Single Layer 3"""" Rock (0-6"""")",1,2,10a
"5 Single Layer 3"""" Rock (0-6"""")",1,1,10a
"4 Single Layer 9"""" Rock (6-12"""")",2,1,10b
"5 Single Layer 3"""" Rock (0-6"""")",1,591,10b
"3 Multi-Layer (12-21"""")",3,30,10b
"4 Single Layer 9"""" Rock (6-12"""")",2,6155,10b
"3 Multi-Layer (12-21"""")",3,1326,10b
"1 Multi Layer Deep (Above 27-33"""")",5,1,10b
"1 Multi Layer Deep (Above 27-33"""")",5,23,10b
"1 Multi Layer Deep (Above 27-33"""")",5,1,10b
"1 Multi Layer Deep (Above 27-33"""")",5,2,10b
"1 Multi Layer Deep (Above 27-33"""")",5,4,10b
"1 Multi Layer Deep (Above 27-33"""")",5,4,10b
"1 Multi Layer Deep (Above 27-33"""")",5,1,10b
"1 Multi Layer Deep (Above 27-33"""")",5,1,10b
"2 Single Layer 24"""" Rock (21-27"""")",4,1427,10b
"1 Multi Layer Deep (Above 27-33"""")",5,33,11a
"2 Single Layer 24"""" Rock (21-27"""")",4,952,11a
"3 Multi-Layer (12-21"""")",3,2078,11a
"3 Multi-Layer (12-21"""")",3,1,11a
"5 Single Layer 3"""" Rock (0-6"""")",1,1,11a
"5 Single Layer 3"""" Rock (0-6"""")",1,2,11a
"5 Single Layer 3"""" Rock (0-6"""")",1,165,11a
"4 Single Layer 9"""" Rock (6-12"""")",2,1548,11a
"4 Single Layer 9"""" Rock (6-12"""")",2,1,11b
"5 Single Layer 3"""" Rock (0-6"""")",1,1871,11b
"4 Single Layer 9"""" Rock (6-12"""")",2,7442,11b
"3 Multi-Layer (12-21"""")",3,2904,11b
"2 Single Layer 24"""" Rock (21-27"""")",4,1783,11b
"2 Single Layer 24"""" Rock (21-27"""")",4,1,12
"2 Single Layer 24"""" Rock (21-27"""")",4,1986,12
"3 Multi-Layer (12-21"""")",3,2447,12
"5 Single Layer 3"""" Rock (0-6"""")",1,43,12
"4 Single Layer 9"""" Rock (6-12"""")",2,7772,12
"3 Multi-Layer (12-21"""")",3,2906,12
"2 Single Layer 24"""" Rock (21-27"""")",4,1596,12
"2 Single Layer 24"""" Rock (21-27"""")",4,2047,13
"2 Single Layer 24"""" Rock (21-27"""")",4,1,13
"2 Single Layer 24"""" Rock (21-27"""")",4,58,13
"4 Single Layer 9"""" Rock (6-12"""")",2,8,13
"3 Multi-Layer (12-21"""")",3,6663,13
"2 Single Layer 24"""" Rock (21-27"""")",4,1032,13
"2 Single Layer 24"""" Rock (21-27"""")",4,1573,14
"3 Multi-Layer (12-21"""")",3,6418,14
"2 Single Layer 24"""" Rock (21-27"""")",4,1462,14
"1 Multi Layer Deep (Above 27-33"""")",5,485,14
"1 Multi Layer Deep (Above 27-33"""")",5,245,15
"2 Single Layer 24"""" Rock (21-27"""")",4,1575,15
"3 Multi-Layer (12-21"""")",3,13411,15
"1 Multi Layer Deep (Above 27-33"""")",5,37,15
"2 Single Layer 24"""" Rock (21-27"""")",4,1967,15
"2 Single Layer 24"""" Rock (21-27"""")",4,1166,16
"3 Multi-Layer (12-21"""")",3,1770,16
"4 Single Layer 9"""" Rock (6-12"""")",2,2143,16
"5 Single Layer 3"""" Rock (0-6"""")",1,5880,16
"4 Single Layer 9"""" Rock (6-12"""")",2,3837,16
"2 Single Layer 24"""" Rock (21-27"""")",4,7,16
"3 Multi-Layer (12-21"""")",3,2447,16
"2 Single Layer 24"""" Rock (21-27"""")",4,1099,16
"2 Single Layer 24"""" Rock (21-27"""")",4,1455,17
"3 Multi-Layer (12-21"""")",3,2348,17
"4 Single Layer 9"""" Rock (6-12"""")",2,4890,17
"3 Multi-Layer (12-21"""")",3,3839,17
"2 Single Layer 24"""" Rock (21-27"""")",4,3471,17
"1 Multi Layer Deep (Above 27-33"""")",5,1321,18
"2 Single Layer 24"""" Rock (21-27"""")",4,3681,18
"3 Multi-Layer (12-21"""")",3,4579,18
"2 Single Layer 24"""" Rock (21-27"""")",4,1810,18
"2 Single Layer 24"""" Rock (21-27"""")",4,2514,19
"3 Multi-Layer (12-21"""")",3,3438,19
"4 Single Layer 9"""" Rock (6-12"""")",2,10566,19
"3 Multi-Layer (12-21"""")",3,10833,19
"2 Single Layer 24"""" Rock (21-27"""")",4,543,19
"2 Single Layer 24"""" Rock (21-27"""")",4,1,19
"1 Multi Layer Deep (Above 27-33"""")",5,1451,19
"2 Single Layer 24"""" Rock (21-27"""")",4,646,19
"1 Multi Layer Deep (Above 27-33"""")",5,4009,20
"2 Single Layer 24"""" Rock (21-27"""")",4,2666,20
"3 Multi-Layer (12-21"""")",3,10877,20
"4 Single Layer 9"""" Rock (6-12"""")",2,3249,20
"3 Multi-Layer (12-21"""")",3,5153,20
"1 Multi Layer Deep (Above 27-33"""")",5,26,21
"2 Single Layer 24"""" Rock (21-27"""")",4,3739,21
"3 Multi-Layer (12-21"""")",3,17050,21
"1 Multi Layer Deep (Above 27-33"""")",5,73,21
"1 Multi Layer Deep (Above 27-33"""")",5,1,21
"2 Single Layer 24"""" Rock (21-27"""")",4,2220,21
"2 Single Layer 24"""" Rock (21-27"""")",4,2914,22
"3 Multi-Layer (12-21"""")",3,1,22
"3 Multi-Layer (12-21"""")",3,11333,22
"4 Single Layer 9"""" Rock (6-12"""")",2,4180,22
"3 Multi-Layer (12-21"""")",3,3575,22
"1 Multi Layer Deep (Above 27-33"""")",5,18,22
"2 Single Layer 24"""" Rock (21-27"""")",4,1292,22
