"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"2259","2012-12-10 09:48",-0.003,0.003,0,0,0,0,"v"
"2260","2012-12-10 09:54",-0.039,0.003,0,0,0,0,"v"
"2261","2012-12-10 10:00",-0.062,0.003,0,0,0,0,"v"
"2262","2012-12-10 10:06",-0.072,0,0,0,0,0,"v"
"2263","2012-12-10 10:12",-0.079,0,0,0,0,0,"v"
"2264","2012-12-10 10:18",-0.079,0,0,0,0,0,"v"
"2265","2012-12-10 10:24",-0.075,0,0,0,0,0,"v"
"2266","2012-12-10 10:30",-0.066,0.003,0,0,0,0,"v"
"2267","2012-12-10 10:36",-0.043,0.003,0,0,0,0,"v"
"2268","2012-12-10 10:42",-0.003,0.003,0,0,0,0,"v"
"2511","2012-12-11 11:00",-0.003,0.003,0,0,0,0,"v"
"2512","2012-12-11 11:06",-0.016,0.003,0,0,0,0,"v"
"2513","2012-12-11 11:12",-0.026,0.003,0,0,0,0,"v"
"2514","2012-12-11 11:18",-0.026,0.003,0,0,0,0,"v"
"2515","2012-12-11 11:24",-0.003,0.007,0,0,0,0,"v"
"2746","2012-12-12 10:30",-0.016,0.013,0,0,0,0,"v"
"2747","2012-12-12 10:36",-0.105,0.01,0,0,0,0,"v"
"2748","2012-12-12 10:42",-0.187,0.01,0,0,0,0,"v"
"2749","2012-12-12 10:48",-0.269,0.01,0,0,0,0,"v"
"2750","2012-12-12 10:54",-0.348,0.01,0,0,0,0,"v"
"2751","2012-12-12 11:00",-0.42,0.01,0,0,0,0,"v"
"2752","2012-12-12 11:06",-0.495,0.01,0,0,0,0,"v"
"2753","2012-12-12 11:12",-0.571,0.01,0,0,0,0,"v"
"2754","2012-12-12 11:18",-0.643,0.01,0,0,0,0,"v"
"2755","2012-12-12 11:24",-0.709,0.007,0,0,0,0,"v"
"2756","2012-12-12 11:30",-0.771,0.007,0,0,0,0,"v"
"2757","2012-12-12 11:36",-0.827,0.007,0,0,0,0,"v"
"2758","2012-12-12 11:42",-0.869,0.007,0,0,0,0,"v"
"2759","2012-12-12 11:48",-0.912,0.003,0,0,0,0,"v"
"2760","2012-12-12 11:54",-0.948,0.007,0,0,0,0,"v"
"2761","2012-12-12 12:00",-0.988,0.003,0,0,0,0,"v"
"2762","2012-12-12 12:06",-1.027,0.003,0,0,0,0,"v"
"2763","2012-12-12 12:12",-1.043,0,0,0,0,0,"v"
"2764","2012-12-12 12:18",-1.037,0.003,0,0,0,0,"v"
"2765","2012-12-12 12:24",-1.017,0.003,0,0,0,0,"v"
"2766","2012-12-12 12:30",-0.955,0.01,0,0,0,0,"v"
