"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"2762","2012-12-12 12:06",-1.027,0.003,0,0,0,0,"v"
"2763","2012-12-12 12:12",-1.043,0,0,0,0,0,"v"
"2764","2012-12-12 12:18",-1.037,0.003,0,0,0,0,"v"
"2765","2012-12-12 12:24",-1.017,0.003,0,0,0,0,"v"
"3005","2012-12-13 12:24",-1.037,0.007,0,0,0,0,"v"
"3006","2012-12-13 12:30",-1.083,0.007,0,0,0,0,"v"
"3007","2012-12-13 12:36",-1.122,0.003,0,0,0,0,"v"
"3008","2012-12-13 12:42",-1.155,0.003,0,0,0,0,"v"
"3009","2012-12-13 12:48",-1.181,0.003,0,0,0,0,"v"
"3010","2012-12-13 12:54",-1.201,0.003,0,0,0,0,"v"
"3011","2012-12-13 13:00",-1.207,0.003,0,0,0,0,"v"
"3012","2012-12-13 13:06",-1.214,0.003,0,0,0,0,"v"
"3013","2012-12-13 13:12",-1.217,0.003,0,0,0,0,"v"
"3014","2012-12-13 13:18",-1.201,0.013,0,0,0,0,"v"
"3015","2012-12-13 13:24",-1.175,0.007,0,0,0,0,"v"
"3016","2012-12-13 13:30",-1.148,0.007,0,0,0,0,"v"
"3017","2012-12-13 13:36",-1.106,0.007,0,0,0,0,"v"
"3018","2012-12-13 13:42",-1.043,0.01,0,0,0,0,"v"
"3247","2012-12-14 12:36",-1.047,0,1,0,0,0,"v"
"3248","2012-12-14 12:42",-1.145,0,1,0,0,0,"v"
"3249","2012-12-14 12:48",-1.145,0,1,0,0,0,"v"
"3250","2012-12-14 12:54",-1.25,0,1,0,1,0,"v"
"3251","2012-12-14 13:00",-1.237,0,1,0,1,0,"v"
"3252","2012-12-14 13:06",-1.263,0,1,0,0,0,"v"
"3253","2012-12-14 13:12",-1.227,0,1,0,0,0,"v"
"3254","2012-12-14 13:18",-1.302,0,1,0,0,0,"v"
"3255","2012-12-14 13:24",-1.306,0,1,0,0,0,"v"
"3256","2012-12-14 13:30",-1.263,0,1,0,0,0,"v"
"3257","2012-12-14 13:36",-1.263,0,1,0,0,0,"v"
"3258","2012-12-14 13:42",-1.237,0,1,0,0,0,"v"
"3259","2012-12-14 13:48",-1.309,0,1,0,0,0,"v"
"3260","2012-12-14 13:54",-1.266,0,1,0,1,0,"v"
"3261","2012-12-14 14:00",-1.25,0,1,0,0,0,"v"
"3262","2012-12-14 14:06",-1.204,0,1,0,0,0,"v"
"3263","2012-12-14 14:12",-1.132,0,1,0,0,0,"v"
"3264","2012-12-14 14:18",-1.142,0,1,0,0,0,"v"
"3265","2012-12-14 14:24",-1.083,0,1,0,0,0,"v"
"3266","2012-12-14 14:30",-1.014,0,1,0,0,0,"v"
"3267","2012-12-14 14:36",-1.01,0,1,0,0,0,"v"
"7087","2012-12-30 12:36",-1.03,0.01,0,0,0,0,"v"
"7088","2012-12-30 12:42",-1.102,0.01,0,0,0,0,"v"
"7089","2012-12-30 12:48",-1.165,0.007,0,0,0,0,"v"
