Date Time, Water Level, Sigma, O, F, R, L, Quality 
2013-12-01 00:00,1.280,0.003,0,0,0,0,v
2013-12-01 00:06,1.329,0.007,0,0,0,0,v
2013-12-01 00:12,1.385,0.007,0,0,0,0,v
2013-12-01 00:18,1.427,0.007,0,0,0,0,v
2013-12-01 00:24,1.480,0.007,0,0,0,0,v
2013-12-01 00:30,1.539,0.007,0,0,0,0,v
2013-12-01 00:36,1.591,0.007,0,0,0,0,v
2013-12-01 00:42,1.647,0.010,0,0,0,0,v
2013-12-01 00:48,1.706,0.007,0,0,0,0,v
2013-12-01 00:54,1.772,0.010,0,0,0,0,v
2013-12-01 01:00,1.841,0.007,0,0,0,0,v
2013-12-01 01:06,1.903,0.007,0,0,0,0,v
2013-12-01 01:12,1.959,0.007,0,0,0,0,v
2013-12-01 01:18,2.005,0.007,0,0,0,0,v
2013-12-01 01:24,2.060,0.010,0,0,0,0,v
2013-12-01 01:30,2.126,0.007,0,0,0,0,v
2013-12-01 01:36,2.182,0.007,0,0,0,0,v
2013-12-01 01:42,2.228,0.010,0,0,0,0,v
2013-12-01 01:48,2.303,0.010,0,0,0,0,v
2013-12-01 01:54,2.372,0.010,0,0,0,0,v
2013-12-01 02:00,2.425,0.010,0,0,0,0,v
2013-12-01 02:06,2.490,0.010,0,0,0,0,v
2013-12-01 02:12,2.552,0.013,0,0,0,0,v
2013-12-01 02:18,2.612,0.013,0,0,0,0,v
2013-12-01 02:24,2.671,0.013,0,0,0,0,v
2013-12-01 02:30,2.720,0.013,0,0,0,0,v
2013-12-01 02:36,2.743,0.013,0,0,0,0,v
2013-12-01 02:42,2.759,0.013,0,0,0,0,v
2013-12-01 02:48,2.822,0.013,0,0,0,0,v
2013-12-01 02:54,2.894,0.013,0,0,0,0,v
2013-12-01 03:00,2.949,0.013,0,0,0,0,v
2013-12-01 03:06,2.999,0.010,0,0,0,0,v
2013-12-01 03:12,3.045,0.010,0,0,0,0,v
2013-12-01 03:18,3.074,0.007,0,0,0,0,v
2013-12-01 03:24,3.087,0.010,0,0,0,0,v
2013-12-01 03:30,3.120,0.010,0,0,0,0,v
2013-12-01 03:36,3.159,0.010,0,0,0,0,v
2013-12-01 03:42,3.192,0.010,0,0,0,0,v
2013-12-01 03:48,3.199,0.007,0,0,0,0,v
2013-12-01 03:54,3.202,0.007,0,0,0,0,v
2013-12-01 04:00,3.212,0.007,0,0,0,0,v
2013-12-01 04:06,3.228,0.007,0,0,0,0,v
2013-12-01 04:12,3.235,0.007,0,0,0,0,v
2013-12-01 04:18,3.235,0.007,0,0,0,0,v
2013-12-01 04:24,3.228,0.003,0,0,0,0,v
2013-12-01 04:30,3.222,0.003,0,0,0,0,v
2013-12-01 04:36,3.215,0.003,0,0,0,0,v
2013-12-01 04:42,3.205,0.003,0,0,0,0,v
2013-12-01 04:48,3.186,0.007,0,0,0,0,v
2013-12-01 04:54,3.173,0.003,0,0,0,0,v
2013-12-01 05:00,3.156,0.007,0,0,0,0,v
2013-12-01 05:06,3.140,0.007,0,0,0,0,v
2013-12-01 05:12,3.097,0.007,0,0,0,0,v
2013-12-01 05:18,3.071,0.003,0,0,0,0,v
2013-12-01 05:24,3.048,0.003,0,0,0,0,v
2013-12-01 05:30,3.018,0.010,0,0,0,0,v
2013-12-01 05:36,2.979,0.007,0,0,0,0,v
2013-12-01 05:42,2.933,0.010,0,0,0,0,v
2013-12-01 05:48,2.881,0.007,0,0,0,0,v
2013-12-01 05:54,2.822,0.010,0,0,0,0,v
2013-12-01 06:00,2.759,0.010,0,0,0,0,v
2013-12-01 06:06,2.680,0.010,0,0,0,0,v
2013-12-01 06:12,2.612,0.010,0,0,0,0,v
2013-12-01 06:18,2.562,0.010,0,0,0,0,v
2013-12-01 06:24,2.513,0.007,0,0,0,0,v
2013-12-01 06:30,2.457,0.007,0,0,0,0,v
2013-12-01 06:36,2.388,0.010,0,0,0,0,v
2013-12-01 06:42,2.310,0.010,0,0,0,0,v
2013-12-01 06:48,2.234,0.010,0,0,0,0,v
2013-12-01 06:54,2.169,0.007,0,0,0,0,v
2013-12-01 07:00,2.110,0.010,0,0,0,0,v
2013-12-01 07:06,2.031,0.010,0,0,0,0,v
2013-12-01 07:12,1.942,0.010,0,0,0,0,v
2013-12-01 07:18,1.857,0.010,0,0,0,0,v
2013-12-01 07:24,1.788,0.010,0,0,0,0,v
2013-12-01 07:30,1.726,0.010,0,0,0,0,v
2013-12-01 07:36,1.660,0.010,0,0,0,0,v
2013-12-01 07:42,1.594,0.007,0,0,0,0,v
2013-12-01 07:48,1.529,0.010,0,0,0,0,v
2013-12-01 07:54,1.457,0.010,0,0,0,0,v
2013-12-01 08:00,1.388,0.010,0,0,0,0,v
2013-12-01 08:06,1.322,0.007,0,0,0,0,v
2013-12-01 08:12,1.260,0.007,0,0,0,0,v
2013-12-01 08:18,1.201,0.007,0,0,0,0,v
2013-12-01 08:24,1.145,0.007,0,0,0,0,v
2013-12-01 08:30,1.086,0.010,0,0,0,0,v
2013-12-01 08:36,1.020,0.010,0,0,0,0,v
2013-12-01 08:42,0.951,0.010,0,0,0,0,v
2013-12-01 08:48,0.883,0.010,0,0,0,0,v
2013-12-01 08:54,0.814,0.010,0,0,0,0,v
2013-12-01 09:00,0.748,0.007,0,0,0,0,v
2013-12-01 09:06,0.682,0.010,0,0,0,0,v
2013-12-01 09:12,0.623,0.007,0,0,0,0,v
2013-12-01 09:18,0.564,0.007,0,0,0,0,v
2013-12-01 09:24,0.505,0.007,0,0,0,0,v
2013-12-01 09:30,0.446,0.007,0,0,0,0,v
2013-12-01 09:36,0.390,0.007,0,0,0,0,v
2013-12-01 09:42,0.331,0.007,0,0,0,0,v
2013-12-01 09:48,0.269,0.007,0,0,0,0,v
2013-12-01 09:54,0.207,0.007,0,0,0,0,v
2013-12-01 10:00,0.144,0.007,0,0,0,0,v
2013-12-01 10:06,0.089,0.007,0,0,0,0,v
2013-12-01 10:12,0.030,0.007,0,0,0,0,v
2013-12-01 10:18,-0.030,0.007,0,0,0,0,v
2013-12-01 10:24,-0.089,0.007,0,0,0,0,v
2013-12-01 10:30,-0.144,0.007,0,0,0,0,v
2013-12-01 10:36,-0.197,0.007,0,0,0,0,v
2013-12-01 10:42,-0.246,0.007,0,0,0,0,v
2013-12-01 10:48,-0.289,0.007,0,0,0,0,v
2013-12-01 10:54,-0.325,0.003,0,0,0,0,v
2013-12-01 11:00,-0.351,0.003,0,0,0,0,v
2013-12-01 11:06,-0.364,0.003,0,0,0,0,v
2013-12-01 11:12,-0.374,0.003,0,0,0,0,v
2013-12-01 11:18,-0.387,0.003,0,0,0,0,v
2013-12-01 11:24,-0.390,0.000,0,0,0,0,v
2013-12-01 11:30,-0.381,0.000,0,0,0,0,v
2013-12-01 11:36,-0.371,0.003,0,0,0,0,v
2013-12-01 11:42,-0.344,0.003,0,0,0,0,v
2013-12-01 11:48,-0.331,0.003,0,0,0,0,v
