Date Time, Water Level, Sigma, O, F, R, L, Quality 
2013-01-01 00:00,2.057,0.010,0,0,0,0,v
2013-01-01 00:06,1.998,0.007,0,0,0,0,v
2013-01-01 00:12,1.946,0.007,0,0,0,0,v
2013-01-01 00:18,1.893,0.007,0,0,0,0,v
2013-01-01 00:24,1.841,0.007,0,0,0,0,v
2013-01-01 00:30,1.798,0.007,0,0,0,0,v
2013-01-01 00:36,1.762,0.007,0,0,0,0,v
2013-01-01 00:42,1.716,0.007,0,0,0,0,v
2013-01-01 00:48,1.663,0.007,0,0,0,0,v
2013-01-01 00:54,1.614,0.007,0,0,0,0,v
2013-01-01 01:00,1.558,0.007,0,0,0,0,v
2013-01-01 01:06,1.496,0.007,0,0,0,0,v
2013-01-01 01:12,1.437,0.007,0,0,0,0,v
2013-01-01 01:18,1.394,0.003,0,0,0,0,v
2013-01-01 01:24,1.365,0.003,0,0,0,0,v
2013-01-01 01:30,1.342,0.003,0,0,0,0,v
2013-01-01 01:36,1.306,0.007,0,0,0,0,v
2013-01-01 01:42,1.253,0.007,0,0,0,0,v
2013-01-01 01:48,1.198,0.007,0,0,0,0,v
2013-01-01 01:54,1.168,0.003,0,0,0,0,v
2013-01-01 02:00,1.145,0.003,0,0,0,0,v
2013-01-01 02:06,1.132,0.003,0,0,0,0,v
2013-01-01 02:12,1.115,0.003,0,0,0,0,v
2013-01-01 02:18,1.106,0.000,0,0,0,0,v
2013-01-01 02:24,1.102,0.000,0,0,0,0,v
2013-01-01 02:30,1.093,0.000,0,0,0,0,v
2013-01-01 02:36,1.086,0.000,0,0,0,0,v
2013-01-01 02:42,1.086,0.003,0,0,0,0,v
2013-01-01 02:48,1.102,0.003,0,0,0,0,v
2013-01-01 02:54,1.109,0.000,0,0,0,0,v
2013-01-01 03:00,1.122,0.003,0,0,0,0,v
2013-01-01 03:06,1.152,0.003,0,0,0,0,v
2013-01-01 03:12,1.175,0.003,0,0,0,0,v
2013-01-01 03:18,1.211,0.003,0,0,0,0,v
2013-01-01 03:24,1.237,0.003,0,0,0,0,v
2013-01-01 03:30,1.276,0.003,0,0,0,0,v
2013-01-01 03:36,1.306,0.003,0,0,0,0,v
2013-01-01 03:42,1.335,0.007,0,0,0,0,v
2013-01-01 03:48,1.385,0.007,0,0,0,0,v
2013-01-01 03:54,1.444,0.007,0,0,0,0,v
2013-01-01 04:00,1.506,0.007,0,0,0,0,v
2013-01-01 04:06,1.558,0.007,0,0,0,0,v
2013-01-01 04:12,1.594,0.007,0,0,0,0,v
2013-01-01 04:18,1.631,0.007,0,0,0,0,v
2013-01-01 04:24,1.693,0.010,0,0,0,0,v
2013-01-01 04:30,1.759,0.007,0,0,0,0,v
2013-01-01 04:36,1.818,0.007,0,0,0,0,v
2013-01-01 04:42,1.867,0.007,0,0,0,0,v
2013-01-01 04:48,1.929,0.010,0,0,0,0,v
2013-01-01 04:54,1.998,0.010,0,0,0,0,v
2013-01-01 05:00,2.077,0.010,0,0,0,0,v
2013-01-01 05:06,2.142,0.007,0,0,0,0,v
2013-01-01 05:12,2.215,0.010,0,0,0,0,v
2013-01-01 05:18,2.293,0.010,0,0,0,0,v
2013-01-01 05:24,2.375,0.010,0,0,0,0,v
2013-01-01 05:30,2.448,0.007,0,0,0,0,v
2013-01-01 05:36,2.500,0.010,0,0,0,0,v
2013-01-01 05:42,2.569,0.010,0,0,0,0,v
2013-01-01 05:48,2.638,0.010,0,0,0,0,v
2013-01-01 05:54,2.713,0.010,0,0,0,0,v
2013-01-01 06:00,2.779,0.010,0,0,0,0,v
2013-01-01 06:06,2.844,0.010,0,0,0,0,v
2013-01-01 06:12,2.900,0.007,0,0,0,0,v
2013-01-01 06:18,2.943,0.007,0,0,0,0,v
2013-01-01 06:24,2.992,0.007,0,0,0,0,v
2013-01-01 06:30,3.048,0.007,0,0,0,0,v
2013-01-01 06:36,3.107,0.010,0,0,0,0,v
2013-01-01 06:42,3.163,0.007,0,0,0,0,v
2013-01-01 06:48,3.215,0.007,0,0,0,0,v
2013-01-01 06:54,3.264,0.007,0,0,0,0,v
2013-01-01 07:00,3.310,0.007,0,0,0,0,v
2013-01-01 07:06,3.366,0.007,0,0,0,0,v
2013-01-01 07:12,3.419,0.007,0,0,0,0,v
2013-01-01 07:18,3.481,0.010,0,0,0,0,v
2013-01-01 07:24,3.510,0.007,0,0,0,0,v
2013-01-01 07:30,3.540,0.007,0,0,0,0,v
2013-01-01 07:36,3.566,0.003,0,0,0,0,v
2013-01-01 07:42,3.599,0.003,0,0,0,0,v
