station,date,year,month,day,collector,time_utc,salinity_ppt
BTI1,20190305,2019,3,5,SBRH,15:06,2.4
BTI2,20190305,2019,3,5,SBRH,15:10,1.6
BTI3,20190305,2019,3,5,SBRH,14:57,1.6
BTI4,20190305,2019,3,5,SBRH,14:50,2.7
BTI5,20190305,2019,3,5,SBRH,15:24,2.2
BTI6,20190305,2019,3,5,SBRH,15:19,2.8
LCI1,20190319,2019,3,19,AH,15:04,15.5
LCI10,20190319,2019,3,19,AH,15:36,16.2
LCI11,20190319,2019,3,19,AH,15:40,16.5
LCI12,20190319,2019,3,19,AH,15:45,17.5
LCI13,20190319,2019,3,19,AH,15:51,17.4
LCI14,20190319,2019,3,19,AH,16:02,17
LCI15,20190320,2019,3,20,AH,15:09,16.9
LCI16,20190320,2019,3,20,AH,15:03,16.8
LCI17,20190320,2019,3,20,AH,14:45,16.9
LCI18,20190320,2019,3,20,AH,14:51,16.8
LCI19,20190320,2019,3,20,AH,14:58,17.5
LCI2,20190319,2019,3,19,AH,15:16,16.9
LCI3,20190319,2019,3,19,AH,15:23,17
LCI5,20190319,2019,3,19,AH,15:31,16.2
LCI6,20190319,2019,3,19,AH,14:53,16.9
LCI7,20190319,2019,3,19,AH,15:12,16.8
LCI8,20190319,2019,3,19,AH,14:59,17.8
LCI9,20190319,2019,3,19,AH,14:45,15.9
LCN1,20190319,2019,3,19,AH,14:01,16.1
LCN2,20190319,2019,3,19,AH,14:15,16.1
LCN3,20190319,2019,3,19,AH,14:09,16.5
LCN4,20190319,2019,3,19,AH,14:35,15.1
LCN5,20190319,2019,3,19,AH,14:32,14.3
LCN6,20190320,2019,3,20,AH,14:39,19.6
LCN7,20190319,2019,3,19,AH,14:26,15.6
LCN8,20190319,2019,3,19,AH,14:19,15.1
LCN9,20190320,2019,3,20,AH,14:30,21.7
LCO10A,20190305,2019,3,5,SBRH,14:21,0.2
LCO11B,20190305,2019,3,5,SBRH,14:15,4:48
LCO12,20190305,2019,3,5,SBRH,14:05,0.4
LCO14,20190305,2019,3,5,SBRH,14:00,0.6
LCO15,20190305,2019,3,5,SBRH,13:45,0.5
LCO16,20190305,2019,3,5,SBRH,13:37,0.4
LCO17,20190305,2019,3,5,SBRH,13:30,1.8
LCO19,20190305,2019,3,5,SBRH,13:25,2.7
LCO20,20190305,2019,3,5,SBRH,13:15,4.9
LCO21,20190305,2019,3,5,SBRH,12:30,6
LCO9C,20190305,2019,3,5,SBRH,14:35,0.5
LTI1,20190305,2019,3,5,SBRH,15:33,3
LTI2,20190305,2019,3,5,SBRH,15:38,4.1
LTI3,20190305,2019,3,5,SBRH,15:42,2.8
LTI4,20190305,2019,3,5,SBRH,15:54,2.9
LTI5,20190305,2019,3,5,SBRH,15:48,2.8
LTI6,20190305,2019,3,5,SBRH,15:46,2.9
NNI1,20190319,2019,3,19,AH,14:53,14.2
NNI2,20190319,2019,3,19,AH,14:40,15.3
NNI3,20190319,2019,3,19,AH,14:30,15.2
NNI4,20190319,2019,3,19,AH,14:45,15.3
